"province_code","department_code","department_name","department_poblacion"
30,88,"San Salvador",19804
30,42,"Feliciano",16468
30,63,"Islas del Ibicuy",13420
34,14,"Formosa",271381
34,49,"Pilcomayo",96978
34,35,"Patiño",76987
34,56,"Pirané",69852
34,42,"Pilagás",20540
34,21,"Laishi",19009
34,28,"Matacos",17156
34,63,"Ramón Lista",17009
34,7,"Bermejo",16281
38,21,"Dr. Manuel Belgrano",308821
38,14,"El Carmen",116567
38,35,"Ledesma",89309
38,63,"San Pedro",81843
38,42,"Palpalá",59999
38,112,"Yavi",24645
38,70,"Santa Bárbara",19103
38,28,"Humahuaca",18692
38,94,"Tilcara",15410
38,7,"Cochinoca",13592
38,56,"San Antonio",5684
38,98,"Tumbaya",4948
38,84,"Susques",4127
38,49,"Rinconada",2903
38,105,"Valle Grande",2619
38,77,"Santa Catalina",2619
42,21,"Capital",119781
42,105,"Maracó",67361
42,140,"Toay",17994
42,133,"Realicó",17986
42,154,"Utracán",16180
42,35,"Conhelo",14191
42,56,"Chapaleufú",13079
42,112,"Puelén",12157
42,126,"Rancul",11111
42,7,"Atreucó",10584
42,98,"Loventué",9131
42,119,"Quemú Quemú",9080
42,70,"Guatraché",8871
42,28,"Catriló",8124
42,77,"Hucal",7406
42,147,"Trenel",5325
42,49,"Chalileo",3680
42,14,"Caleu Caleu",2768
42,63,"Chicalcó",1519
42,42,"Curacó",1193
42,91,"Limay Mahuida",583
42,84,"Lihuel Calel",324
46,14,"Capital",223101
46,42,"Chilecito",59812
46,7,"Arauco",18083
46,35,"Chamical",15664
46,112,"Rosario Vera Peñaloza",15619
46,28,"Coronel Felipe Varela",9853
46,63,"General Belgrano",7993
46,84,"General Ocampo",7213
46,49,"Famatina",5674
46,91,"General San Martín",5198
46,21,"Castro Barros",4553
46,119,"San Blas de los Sauces",3899
46,70,"General Juan F. Quiroga",3819
46,56,"General Angel V. Peñaloza",3187
46,98,"Vinchina",2765
46,126,"Sanagasta",2665
46,105,"Independencia",2587
46,77,"General Lamadrid",1846
50,28,"Guaymallén",332468
50,49,"Las Heras",235699
50,105,"San Rafael",213160
50,21,"Godoy Cruz",206510
50,70,"Maipú",201218
50,63,"Luján de Cuyo",143320
50,98,"San Martín",135003
50,7,"Capital",119854
50,84,"Rivadavia",63518
50,119,"Tunuyán",60416
50,14,"General Alvear",50693
50,56,"Lavalle",44040
50,35,"Junín",42980
50,91,"San Carlos",39343
50,126,"Tupungato",38885
50,77,"Malargüe",34642
50,112,"Santa Rosa",17758
50,42,"La Paz",10831
54,28,"Capital",371424
54,91,"Oberá",121727
54,63,"Iguazú",99849
54,42,"Eldorado",90484
54,56,"Guaraní",79553
54,98,"San Ignacio",61666
54,14,"Cainguás",60756
54,49,"General Manuel Belgrano",53354
54,77,"Libertador Grl. San Martín",51706
54,70,"Leandro N. Alem",49461
54,7,"Apóstoles",47387
54,84,"Montecarlo",40209
54,112,"San Pedro",39137
54,21,"Candelaria",32419
54,119,"25 de Mayo",28916
54,105,"San Javier",22971
54,35,"Concepción",10275
