"prov_name","prov_code","name","codigo","region"
"Ciudad Autónoma de Buenos Aires",2,"Sin especificar",0,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 1",1,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 2",2,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 3",3,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 4",4,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 5",5,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 6",6,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 7",7,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 8",8,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 9",9,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 10",10,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 11",11,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 12",12,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 13",13,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 14",14,"AMBA"
"Ciudad Autónoma de Buenos Aires",2,"Comuna 15",15,"AMBA"
"Buenos Aires",6,"Sin especificar",0,"Buenos Aires no AMBA"
"Buenos Aires",6,"Adolfo Alsina",7,"Buenos Aires no AMBA"
"Buenos Aires",6,"Adolfo Gonzales Chaves",14,"Buenos Aires no AMBA"
"Buenos Aires",6,"Alberti",21,"Buenos Aires no AMBA"
"Buenos Aires",6,"Almirante Brown",28,"AMBA"
"Buenos Aires",6,"Avellaneda",35,"AMBA"
"Buenos Aires",6,"Ayacucho",42,"Buenos Aires no AMBA"
"Buenos Aires",6,"Azul",49,"Buenos Aires no AMBA"
"Buenos Aires",6,"Bahía Blanca",56,"Buenos Aires no AMBA"
"Buenos Aires",6,"Balcarce",63,"Buenos Aires no AMBA"
"Buenos Aires",6,"Baradero",70,"Buenos Aires no AMBA"
"Buenos Aires",6,"Arrecifes",77,"Buenos Aires no AMBA"
"Buenos Aires",6,"Benito Juárez",84,"Buenos Aires no AMBA"
"Buenos Aires",6,"Berazategui",91,"Buenos Aires no AMBA"
"Buenos Aires",6,"Berisso",98,"AMBA"
"Buenos Aires",6,"Bolívar",105,"Buenos Aires no AMBA"
"Buenos Aires",6,"Bragado",112,"Buenos Aires no AMBA"
"Buenos Aires",6,"Brandsen",119,"AMBA"
"Buenos Aires",6,"Campana",126,"AMBA"
"Buenos Aires",6,"Cañuelas",134,"AMBA"
"Buenos Aires",6,"Capitán Sarmiento",140,"Buenos Aires no AMBA"
"Buenos Aires",6,"Carlos Casares",147,"Buenos Aires no AMBA"
"Buenos Aires",6,"Carlos Tejedor",154,"Buenos Aires no AMBA"
"Buenos Aires",6,"Carmen de Areco",161,"Buenos Aires no AMBA"
"Buenos Aires",6,"Castelli",168,"Buenos Aires no AMBA"
"Buenos Aires",6,"Colón",175,"Buenos Aires no AMBA"
"Buenos Aires",6,"Coronel de Marina L. Rosales",182,"Buenos Aires no AMBA"
"Buenos Aires",6,"Coronel Dorrego",189,"Buenos Aires no AMBA"
